Wildtype	0	16810	197394	0.0851596
Wildtype	1	207	197394	0.00104866
Wildtype	2	158	197394	0.00080043
Wildtype	3	533	197394	0.00270018
Wildtype	4	1652	197394	0.00836905
Wildtype	5	2896	197394	0.0146712
Wildtype	6	5649	197394	0.0286179
Wildtype	7	8075	197394	0.040908
Wildtype	8	11148	197394	0.0564759
Wildtype	9	14648	197394	0.0742069
Wildtype	10	16533	197394	0.0837563
Wildtype	11	17705	197394	0.0896937
Wildtype	12	18269	197394	0.0925509
Wildtype	13	17649	197394	0.08941
Wildtype	14	15701	197394	0.0795414
Wildtype	15	13019	197394	0.0659544
Wildtype	16	9719	197394	0.0492366
Wildtype	17	7883	197394	0.0399354
Wildtype	18	5259	197394	0.0266421
Wildtype	19	3562	197394	0.0180451
Wildtype	20	2515	197394	0.012741
Wildtype	21	1944	197394	0.00984832
Wildtype	22	1289	197394	0.00653009
Wildtype	23	810	197394	0.00410347
Wildtype	24	722	197394	0.00365766
Wildtype	25	596	197394	0.00301934
Wildtype	26	373	197394	0.00188962
Wildtype	27	439	197394	0.00222398
Wildtype	28	414	197394	0.00209733
Wildtype	29	327	197394	0.00165659
Wildtype	30	317	197394	0.00160593
Wildtype	31	150	197394	0.000759902
Wildtype	32	142	197394	0.000719373
Wildtype	33	105	197394	0.000531931
Wildtype	34	58	197394	0.000293829
Wildtype	35	66	197394	0.000334357
Wildtype	36	17	197394	8.61222e-05
Wildtype	37	21	197394	0.000106386
Wildtype	38	12	197394	6.07921e-05
Wildtype	39	2	197394	1.0132e-05
genome	0	16810	197394	0.0851596
genome	1	207	197394	0.00104866
genome	2	158	197394	0.00080043
genome	3	533	197394	0.00270018
genome	4	1652	197394	0.00836905
genome	5	2896	197394	0.0146712
genome	6	5649	197394	0.0286179
genome	7	8075	197394	0.040908
genome	8	11148	197394	0.0564759
genome	9	14648	197394	0.0742069
genome	10	16533	197394	0.0837563
genome	11	17705	197394	0.0896937
genome	12	18269	197394	0.0925509
genome	13	17649	197394	0.08941
genome	14	15701	197394	0.0795414
genome	15	13019	197394	0.0659544
genome	16	9719	197394	0.0492366
genome	17	7883	197394	0.0399354
genome	18	5259	197394	0.0266421
genome	19	3562	197394	0.0180451
genome	20	2515	197394	0.012741
genome	21	1944	197394	0.00984832
genome	22	1289	197394	0.00653009
genome	23	810	197394	0.00410347
genome	24	722	197394	0.00365766
genome	25	596	197394	0.00301934
genome	26	373	197394	0.00188962
genome	27	439	197394	0.00222398
genome	28	414	197394	0.00209733
genome	29	327	197394	0.00165659
genome	30	317	197394	0.00160593
genome	31	150	197394	0.000759902
genome	32	142	197394	0.000719373
genome	33	105	197394	0.000531931
genome	34	58	197394	0.000293829
genome	35	66	197394	0.000334357
genome	36	17	197394	8.61222e-05
genome	37	21	197394	0.000106386
genome	38	12	197394	6.07921e-05
genome	39	2	197394	1.0132e-05
